Time,Time,Miles,Cost,Date,,Total,Beginning Route,End Route
0636,6:36 AM,0.00 mi,$3.75 ,Friday May 4,,,,
0641,6:41 AM,9.17 mi,$10.35 ,Friday May 4,,,"1085 Highland Oaks Dr, Southlake, TX 76092, USA","2400 Aviation Dr, DFW Airport, TX 75261, United States"
0720,7:20 AM,4.23 mi,$4.24 ,Friday May 4,,,"385 E Las Colinas Blvd, Irving, TX 75039, USA","5931 Campus Circle Dr W, Irving, 75063, US"
0742,7:42 AM,2.24 mi,$3.91 ,Friday May 4,,,,
0800,8:00 AM,4.22 mi,$4.65 ,Friday May 4,,,,
0814,8:14 AM,3.64 mi,$3.97 ,Friday May 4,,,,
0835,8:35 AM,10.33 mi,$9.40 ,Friday May 4,,,,
0905,9:05 AM,4.51 mi,$16.28 ,Friday May 4,,,,
0919,9:19 AM,3.23 mi,$9.21 ,Friday May 4,,,,
0945,9:45 AM,18.91 mi,$18.75 ,Friday May 4,,,,
1030,10:30 AM,1.08 mi,$6.27 ,Friday May 4,,,,
1040,10:40 AM,27.09 mi,$38.86 ,Friday May 4,,,,
1128,11:28 AM,6.56 mi,$8.15 ,Friday May 4,,,,
1210,12:10 PM,9.60 mi,$12.46 ,Friday May 4,,,,
1239,12:39 PM,1.04 mi,$2.85 ,Friday May 4,,,,
1249,12:49 PM,1.28 mi,$4.85 ,Friday May 4,,,,
1300,1:00 PM,4.58 mi,$4.73 ,Friday May 4,,,,
1317,1:17 PM,19.08 mi,$16.75 ,Friday May 4,,,,
1352,1:52 PM,6.02 mi,$8.40 ,Friday May 4,,,,
1410,2:10 PM,2.87 mi,$3.34 ,Friday May 4,,,,
1434,2:34 PM,5.41 mi,$6.40 ,Friday May 4,,,,
1510,3:10 PM,21.74 mi,$25.23 ,Friday May 4,,,,
0637,6:37 AM,42.47 mi,$47.68 ,Monday May 7,,,,
0803,8:03 AM,10.95 mi,$9.64 ,Monday May 7,,,,
0836,8:36 AM,3.96 mi,$4.10 ,Monday May 7,,,,
0900,9:00 AM,0.00 mi,$3.75 ,Monday May 7,,,,
0914,9:14 AM,9.70 mi,$13.47 ,Monday May 7,,,,
0932,9:32 AM,26.20 mi,$25.73 ,Monday May 7,,,,
1019,10:19 AM,3.01 mi,$3.55 ,Monday May 7,,,,
1102,11:02 AM,12.12 mi,$13.12 ,Monday May 7,,,,
1127,11:27 AM,4.90 mi,$4.68 ,Monday May 7,,,,
1142,11:42 AM,33.45 mi,$31.88 ,Monday May 7,,,,
1237,12:37 PM,3.11 mi,$3.57 ,Monday May 7,,,,
1257,12:57 PM,3.84 mi,$4.02 ,Monday May 7,,,,
1308,1:08 PM,3.40 mi,$3.73 ,Monday May 7,,,,
1324,1:24 PM,35.99 mi,$34.81 ,Monday May 7,,,,
1423,2:23 PM,18.68 mi,$17.54 ,Monday May 7,,,,
1501,3:01 PM,5.25 mi,$5.50 ,Monday May 7,,,,
0633,6:33 AM,21.36mi,$21.42 ,Tuesday May 8,,,,
0725,7:25 AM,7.65mi,$8.95 ,Tuesday May 8,,,,
0756,7:56 AM,.59mi,$4.85 ,Tuesday May 8,,,,
0807,8:07 AM,10.34 mi,$11.49 ,Tuesday May 8,,,,
0830,8:30 AM,20.49 mi,$24.54 ,Tuesday May 8,,,,
0920,9:20 AM,13.32 mi,$16.39 ,Tuesday May 8,,,,
1039,10:39 AM,3.53 mi,$6.03 ,Tuesday May 8,,,,
1103,11:03 AM,9.67 mi,$10.60 ,Tuesday May 8,,,,
1124,11:24 AM,20.05 mi,$23.60 ,Tuesday May 8,,,,
1205,12:05 PM,15.53 mi,$15.46 ,Tuesday May 8,,,,
1257,12:57 PM,34.68 mi,$42.81 ,Tuesday May 8,,,,
0707,7:07 AM,24.23 mi,$19.85 ,Wednesday May 9,,,,
0743,7:43 AM,10.25 mi,$9.45 ,Wednesday May 9,,,,
0817,8:17 AM,10.60 mi,$9.07 ,Wednesday May 9,,,,
0853,8:53 AM,5.59 mi,$7.34 ,Wednesday May 9,,,,
0930,9:30 AM,1.82 mi,$2.85 ,Wednesday May 9,,,,
0946,9:46 AM,1.91 mi,$2.85 ,Wednesday May 9,,,,
1001,10:01 AM,6.38 mi,$6.00 ,Wednesday May 9,,,,
1021,10:21 AM,2.17 mi,$2.85 ,Wednesday May 9,,,,
1034,10:34 AM,9.45 mi,$10.25 ,Wednesday May 9,,,,
1052,10:52 AM,4.11 mi,$6.15 ,Wednesday May 9,,,,
1111,11:11 AM,11.14 mi,$16.72 ,Wednesday May 9,,,,
1137,11:37 AM,14.31 mi,$14.07 ,Wednesday May 9,,,,
1305,1:05 PM,10.80 mi,$16.37 ,Wednesday May 9,,,,
1328,1:28 PM,21.14 mi,$19.52 ,Wednesday May 9,,,,
1401,2:01 PM,25.54 mi,$20.68 ,Wednesday May 9,,,,
1442,2:42 PM,3.23 mi,$3.83 ,Wednesday May 9,,,,
1457,2:57 PM,1.56 mi,$3.70 ,Wednesday May 9,,,,
1627,4:27 PM,1.48 mi,$2.85 ,Wednesday May 9,,,,
1642,4:42 PM,7.01 mi,$6.31 ,Wednesday May 9,,,,
1710,5:10 PM,15.60 mi,$13.48 ,Wednesday May 9,,,,
0631,6:31 AM,34.30 mi,$27.54 ,Thursday May 10,,,,
0752,7:52 AM,7.83 mi,$7.16 ,Thursday May 10,,,,
0821,8:21 AM,26.26 mi,$21.60 ,Thursday May 10,,,,
1029,10:29 AM,5.49 mi,$5.32 ,Thursday May 10,,,,
1058,10:58 AM,11.48 mi,$15.47 ,Thursday May 10,,,,
1134,11:34 AM,2.96 mi,$4.66 ,Thursday May 10,,,,
1159,11:59 AM,2.65 mi,$3.23 ,Thursday May 10,,,,
1220,12:20 PM,9.33 mi,$8.68 ,Thursday May 10,,,,
1319,1:19 PM,2.54 mi,$2.93 ,Thursday May 10,,,,
1331,1:31 PM,10.01 mi,$13.92 ,Thursday May 10,,,,
1411,2:11 PM,12.50 mi,$16.48 ,Thursday May 10,,,,
1449,2:49 PM,11.76 mi,$11.97 ,Thursday May 10,,,,
0651,6:51 AM,9.85 mi,$10.49 ,Friday May 11,,,,
